t,温度,振动
0,19.56,0.5875
1,20.214,0.6218
2,21.93,0.6238
3,22.104,0.5616
4,22.96,0.5082
5,23.066,0.482
6,23.302,0.461
7,22.238,0.4278
8,22.186,0.4107
9,23.174,0.4359
10,21.313,0.4904
11,20.259,0.515
12,20.0,0.5538
13,19.454,0.6098
14,18.642,0.5998
15,18.38,0.5632
16,18.179,0.5167
17,16.899,0.4835
18,17.605,0.4536
19,17.378,0.4089
20,17.826,0.4132
21,18.4,0.4526
22,18.389,0.4887
23,19.394,0.5511
24,19.993,0.5482
25,21.023,0.5708
26,21.963,0.6205
27,22.676,0.5993
28,23.283,0.5297
29,24.189,0.481
30,23.733,0.473
31,24.104,0.396
32,22.812,0.3926
33,22.689,0.4583
34,22.17,0.4693
35,21.355,0.5165
36,20.67,0.5833
37,19.851,0.6108
38,18.996,0.5898
39,18.985,0.5863
40,18.209,0.5231
41,18.375,0.4951
42,19.255,0.4348
43,17.594,0.3963
44,18.009,0.4322
45,18.803,0.4226
46,18.869,0.4522
47,20.879,0.5361
48,20.579,0.5402
49,20.346,0.6074
50,22.56,0.6049
51,22.399,0.6066
52,23.306,0.5373
53,24.758,0.4828
54,22.991,0.3986
55,24.128,0.3971
56,23.961,0.4019
57,23.784,0.4101
58,22.807,0.4792
59,20.947,0.5099
60,21.069,0.5368
61,20.815,0.567
62,19.041,0.5972
63,19.14,0.567
64,18.146,0.5408
65,17.696,0.4857
66,18.238,0.4296
67,18.887,0.3857
68,19.355,0.4199
69,19.677,0.4116
70,18.567,0.4396
71,21.188,0.5419
72,21.707,0.5556
73,21.997,0.6006
74,22.546,0.5911
75,24.049,0.5822
76,23.951,0.5431
77,23.984,0.5245
78,24.514,0.4343
79,23.796,0.4348
80,24.283,0.3795
81,22.845,0.4399
82,23.495,0.4952
83,23.625,0.5277
84,21.674,0.5417
85,20.68,0.5914
86,21.043,0.5804
87,19.842,0.5571
88,19.119,0.5
89,18.392,0.4968
90,19.069,0.4328
91,18.291,0.3742
92,19.237,0.3897
93,19.194,0.3756
94,20.671,0.4804
95,20.538,0.5055
96,21.812,0.5739
97,22.876,0.5792
98,23.745,0.613
99,23.642,0.5531
100,24.717,0.5543
101,24.563,0.474
102,25.118,0.4375
103,25.63,0.4282
104,23.985,0.434
105,24.73,0.4425
106,24.133,0.4449
107,23.367,0.5099
108,21.687,0.5511
109,21.227,0.5795
110,20.529,0.5949
111,19.965,0.5634
112,20.461,0.5755
113,18.297,0.4867
114,18.769,0.4223
115,19.615,0.4008
116,19.008,0.3997
117,20.474,0.4473
118,20.321,0.4599
119,21.108,0.5326
120,22.446,0.5451
121,22.608,0.611
122,23.704,0.6006
123,25.21,0.5858
124,25.299,0.5574
125,25.279,0.4555
126,24.849,0.4368
127,26.255,0.4355
128,26.056,0.4204
129,24.635,0.4167
130,23.735,0.4547
131,22.965,0.4912
132,22.005,0.5899
133,22.256,0.6011
134,21.4,0.6017
135,20.979,0.5659
136,20.236,0.5176
137,20.744,0.4993
138,20.237,0.4396
139,19.822,0.4119
140,20.953,0.4133
141,20.907,0.4455
142,22.085,0.4627
143,22.933,0.5093
144,22.823,0.5413
145,22.949,0.5927
146,25.06,0.5616
147,24.934,0.5963
148,26.232,0.5639
149,25.401,0.5046
150,25.756,0.4573
151,25.772,0.3689
152,26.134,0.397
153,24.952,0.4498
154,23.984,0.4746
155,23.932,0.4821
156,23.961,0.5568
157,22.119,0.6222
158,22.062,0.6323
159,21.26,0.5626
160,20.56,0.536
161,20.545,0.4862
162,20.566,0.4429
163,20.052,0.3931
164,20.695,0.4277
165,20.68,0.4336
166,21.873,0.4804
167,22.091,0.5002
168,23.491,0.5926
169,24.606,0.5809
170,25.297,0.6014
171,25.474,0.5799
172,25.702,0.4829
173,25.861,0.4788
174,26.609,0.4227
175,25.924,0.3832
176,26.383,0.4413
177,26.637,0.393
178,25.441,0.4855
179,24.761,0.5275
180,23.948,0.5933
181,22.579,0.5876
182,22.74,0.6154
183,20.542,0.5765
184,20.881,0.5363
185,20.074,0.4834
186,20.038,0.4057
187,21.276,0.3832
188,20.912,0.3765
189,21.3,0.4374
190,22.912,0.4319
191,22.356,0.5326
192,23.823,0.5346
193,23.722,0.6119
194,25.189,0.596
195,26.908,0.5979
196,25.447,0.5508
197,26.359,0.4622
198,26.222,0.4345
199,26.067,0.4174
200,26.627,0.3979
201,26.456,0.428
202,25.223,0.4691
203,24.09,0.5345
204,23.859,0.555
205,23.578,0.6031
206,22.808,0.5992
207,22.604,0.5492
208,21.817,0.5464
209,21.497,0.4679
210,21.441,0.4278
211,20.346,0.416
212,21.927,0.4212
213,22.864,0.4144
214,22.75,0.4734
215,23.615,0.5151
216,24.274,0.5796
217,25.548,0.6026
218,25.456,0.6048
219,26.027,0.6064
220,28.254,0.4972
221,27.817,0.4756
222,27.14,0.4263
223,27.583,0.42
224,27.479,0.393
225,26.446,0.4168
226,26.254,0.4366
227,25.029,0.5203
228,24.822,0.5543
229,23.503,0.5551
230,22.644,0.6165
231,23.509,0.5918
232,23.187,0.5328
233,21.574,0.4943
234,21.323,0.4297
235,20.919,0.3796
236,21.929,0.3675
237,22.321,0.4168
238,23.038,0.4457
239,24.308,0.5327
